Adams County,Washington,Adams County Elections,509-659-3249,http://wei.sos.wa.gov/county/adams/,ocd-division/country:us/state:wa/county:adams
Asotin County,Washington,Asotin County Elections,509-243-2084,http://wei.sos.wa.gov/county/asotin/,ocd-division/country:us/state:wa/county:asotin
Benton County,Washington,Benton County Elections,509-736-3085 and 509-786-5618,http://www.bentonelections.com/,ocd-division/country:us/state:wa/county:benton
Chelan County,Washington,Chelan County Elections,509-667-6808,http://www.elections.chelancountywa.gov,ocd-division/country:us/state:wa/county:chelan
Clallam County,Washington,Clallam County Elections,360-417-2221,http://wei.sos.wa.gov/county/clallam/,ocd-division/country:us/state:wa/county:clallam
Clark County,Washington,Clark County Elections,360-397-2345,http://www.clark.wa.gov/elections/index.html,ocd-division/country:us/state:wa/county:clark
Columbia County,Washington,Columbia County Elections,509-382-4541,http://www.columbiaco.com/index.aspx?NID=148,ocd-division/country:us/state:wa/county:columbia
Cowlitz County,Washington,Cowlitz County Elections,360-577-3005,http://www.vote.wa.gov/cowlitz/,ocd-division/country:us/state:wa/county:cowlitz
Douglas County,Washington,Douglas County Elections,509-745-8527 ext 6407,http://wei.sos.wa.gov/county/douglas/,ocd-division/country:us/state:wa/county:douglas
Ferry County,Washington,Ferry County Elections,509-775-5200,http://wei.sos.wa.gov/county/ferry/,ocd-division/country:us/state:wa/county:ferry
Franklin County,Washington,Franklin County Elections,509-545-3538,http://wei.sos.wa.gov/county/franklin/,ocd-division/country:us/state:wa/county:franklin
Garfield County,Washington,Garfield County Elections,509-843-1411,http://wei.sos.wa.gov/county/garfield/,ocd-division/country:us/state:wa/county:garfield
Grant County,Washington,Grant County Elections,509-754-2011 ext. 423,http://wei.sos.wa.gov/county/grant/,ocd-division/country:us/state:wa/county:grant
Grays Harbor County,Washington,Grays Harbor County Elections,(360) 964-1556 ,http://wei.sos.wa.gov/county/graysharbor/,ocd-division/country:us/state:wa/county:grays_harbor
Island County,Washington,Island County Elections,360-679-7366,http://wei.sos.wa.gov/county/island/,ocd-division/country:us/state:wa/county:island
Jefferson County,Washington,Jefferson County Elections,360-385-9117,http://wei.sos.wa.gov/county/jefferson/,ocd-division/country:us/state:wa/county:jefferson
King County,Washington,King County Elections,206-296-8683,http://www.kingcounty.gov/elections,ocd-division/country:us/state:wa/county:king
Kitsap County,Washington,Kitsap County Elections,360-337-7128,http://www.kitsapgov.com/aud/elections.htm,ocd-division/country:us/state:wa/county:kitsap
Kittitas County,Washington,Kittitas County Elections,509-962-7503,http://www.co.kittitas.wa.us/auditor/elections/default.aspx,ocd-division/country:us/state:wa/county:kittitas
Klickitat County,Washington,Klickitat County Elections,509-773-4001,http://wei.sos.wa.gov/county/klickitat/,ocd-division/country:us/state:wa/county:klickitat
Lewis County,Washington,Lewis County Elections,360-740-1278,http://wei.sos.wa.gov/county/lewis/,ocd-division/country:us/state:wa/county:lewis
Lincoln County,Washington,Lincoln County Elections,509-725-4971,http://wei.sos.wa.gov/county/lincoln/,ocd-division/country:us/state:wa/county:lincoln
Mason County,Washington,Mason County Elections,360-427-9670 ext.469,http://wei.sos.wa.gov/county/mason/,ocd-division/country:us/state:wa/county:mason
Okanogan County,Washington,Okanogan County Elections,509-422-7240,http://wei.sos.wa.gov/county/okanogan/,ocd-division/country:us/state:wa/county:okanogan
Pacific County,Washington,Pacific County Elections,360-875-9317,http://wei.sos.wa.gov/county/pacific/,ocd-division/country:us/state:wa/county:pacific
Pend Oreille County,Washington,Pend Oreille County Elections,509-447-3185 and 509-447-6472,http://www.pendoreilleco.org/county/elections.asp ,ocd-division/country:us/state:wa/county:pend_oreille
Pierce County,Washington,Pierce County Elections,253-798-7430,http://www.co.pierce.wa.us/index.aspx?NID=328,ocd-division/country:us/state:wa/county:pierce
San Juan County,Washington,San Juan County Elections,360-378-3357,http://wei.sos.wa.gov/county/sanjuan/,ocd-division/country:us/state:wa/county:san_juan
Skagit County,Washington,Skagit County Elections,360-336-9305,http://wei.sos.wa.gov/county/skagit/,ocd-division/country:us/state:wa/county:skagit
Skamania County,Washington,Skamania County Elections,509-427-3730,http://wei.sos.wa.gov/county/skamania/,ocd-division/country:us/state:wa/county:skamania
Snohomish County,Washington,Snohomish County Elections,425-388-3444,http://snohomishcountywa.gov/224/Elections-Voter-Registration,ocd-division/country:us/state:wa/county:snohomish
Spokane County,Washington,Spokane County Elections,509-477-2320,http://wei.sos.wa.gov/county/spokane/,ocd-division/country:us/state:wa/county:spokane
Stevens County,Washington,Stevens County Elections,509-684-7514 and 1-866-307-9060,http://wei.sos.wa.gov/county/stevens/,ocd-division/country:us/state:wa/county:stevens
Thurston County,Washington,Thurston County Elections,360-786-5408,http://www.ThurstonVotes.org,ocd-division/country:us/state:wa/county:thurston
Wahkiakum County,Washington,Wahkiakum County Elections,360-795-3219,http://wei.sos.wa.gov/county/wahkiakum/,ocd-division/country:us/state:wa/county:wahkiakum
Walla Walla County,Washington,Walla Walla County Elections,509-524-2530,http://www.vote.wa.gov/wallawalla,ocd-division/country:us/state:wa/county:walla_walla
Whatcom County,Washington,Whatcom County Elections,360-676-6742,http://wei.sos.wa.gov/county/whatcom/,ocd-division/country:us/state:wa/county:whatcom
Whitman County,Washington,Whitman County Elections,509-397-5284,http://wei.sos.wa.gov/county/whitman/,ocd-division/country:us/state:wa/county:whitman
Yakima County,Washington,Yakima County Elections,509-574-1340,http://www.yakimacounty.us/vote/,ocd-division/country:us/state:wa/county:yakima
